Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,num_academia,num_company
328,Model-theoretic Characterizations of Existential Rule Languages,Tianjin University,Western Sydney University,Huazhong University of Science and Technology,Nankai University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
329,Stable Matchings with Diversity Constraints: Affirmative Action is beyond NP,TU Wien,TU Wien,TU Wien,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
330,Strategyproof Mechanism for Two Heterogeneous Facilities with Constant Approximation Ratio,City University of Hong Kong,Shanghai University of Finance and Economics,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
331,Alleviate Dataset Shift Problem in Fine-grained Entity Typing with Virtual Adversarial Training,Zhejiang University,Zhejiang University,University of Illinois Urbana-Champaign,Zhejiang University,University of Science and Technology of China,Zhejiang University,University of Southern California,,,,,,,,,,,,,,,,,,,,,7.0,0.0
332,RLCard: A Platform for Reinforcement Learning in Card Games,Texas A&M University,Texas A&M University,Simon Fraser University,Texas A&M University,Texas A&M University,Texas A&M University,Texas A&M University,Texas A&M University,Texas A&M University,Texas A&M University,,,,,,,,,,,,,,,,,,10.0,0.0
333,PROBANCH: a Modular Probabilistic Anchoring Framework,Örebro University,KU Leuven,Örebro University,KU Leuven,Örebro University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
334,HAF-SVG: Hierarchical Stochastic Video Generation with Aligned Features,Tsinghua University,Urban Planning & Design Institute of Shenzhen (China),Urban Planning & Design Institute of Shenzhen (China),Peng Cheng Laboratory,Urban Planning & Design Institute of Shenzhen (China),,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
335,I4R: Promoting Deep Reinforcement Learning by the Indicator for Expressive Representations,Beihang University,Microsoft Research Asia (China),Peking University,Microsoft Research Asia (China),Beihang University,Microsoft Research (India),,,,,,,,,,,,,,,,,,,,,,3.0,3.0
336,Mixed-Variable Bayesian Optimization,University of Cambridge,Max Planck Institute for Intelligent Systems,ETH Zurich,Max Planck Institute for Intelligent Systems,ETH Zurich,ETH Zurich,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
337,A Survey on Computational Propaganda Detection,Qatar Computing Research Institute,Institute of Informatics and Telematics,University of Bologna," MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA, US",Hamad bin Khalifa University,Qatar Computing Research Institute,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
338,Bridging the Gap between Training and Inference for Neural Machine Translation *," Smart Platform Product Department of Tencent Inc., Chin",Institute of Computing Technology,University of Chinese Academy of Sciences," Huawei Noah's Ark Lab, Hong Kong, Chin",,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
339,Tractable Fragments of Datalog with Metric Temporal Operators,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
340,Learning Interpretable Representations with Informative Entanglements,University of Louisiana at Lafayette,Johannes Kepler University of Linz,University of Louisiana at Lafayette,University of Louisiana at Lafayette,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
341,Rational Closure For All Description Logics (Extended Abstract) *,University of Naples Federico II,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
342,From Support Propagation to Belief Propagation in Constraint Programming (Extended Abstract) *,Polytechnique Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
