Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,num_academia,num_company
754,Causal-Based Supervision of Attention in Graph Neural Network: A Better and Simpler Choice towards Powerful Attention,Southern University of Science and Technology,Southern University of Science and Technology,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Southern University of Science and Technology,,,,,,,,,,,,3.0,3.0
755,Exploring Effective Inter-Encoder Semantic Interaction for Document-Level Relation Extraction,Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",,,,,,6.0,0.0
756,On the Compilability of Bounded Numeric Planning,Free University of Bozen-Bolzano,University of Brescia,,,,,,,,,,,,,,,,2.0,0.0
757,SupervisorBot: NLP-Annotated Real-Time Recommendations of Psychotherapy Treatment Strategies with Deep Reinforcement Learning,Columbia University,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,3.0,0.0
758,On Building a Semi-Automated Framework for Generating Causal Bayesian Networks from Raw Text,Institute of Business Administration Karachi,,,,,,,,,,,,,,,,,1.0,0.0
759,Learning Object Consistency and Interaction in Image Generation from Scene Graphs,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Alibaba Group (China),Zhejiang University,Alibaba Group (China),,,,,,,,,,,5.0,2.0
760,Black-box Prompt Tuning for Vision-Language Model as a Service,East China Normal University,East China Normal University,East China Normal University,East China Normal University,East China Normal University,East China Normal University,East China Normal University,,,,,,,,,,,7.0,0.0
761,Denial-of-Service or Fine-Grained Control: Towards Flexible Model Poisoning Attacks on Federated Learning,Xiangtan University,Swinburne University of Technology,Griffith University,Huazhong University of Science and Technology, National Engineering Research Center for Big Data Technology and Syste,Institute of Computing Technology, Hubei Engineering Research Center on Big Data Securit,RMIT University,Griffith University,Xiangtan University,,,,,,,,7.0,0.0
762,Game-theoretic Mechanisms for Eliciting Accurate Information,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,,,,,,1.0,0.0
763,What Lies beyond the Pareto Front? A Survey on Decision-Support Methods for Multi-Objective Optimization,Delft University of Technology,Delft University of Technology,Vrije Universiteit Brussel,University of Amsterdam,Delft University of Technology,Delft University of Technology,,,,,,,,,,,,6.0,0.0
764,Character As Pixels: A Controllable Prompt Adversarial Attacking Framework for Black-Box Text Guided Image Generation Models,University of Notre Dame,University of Notre Dame,University of Notre Dame,University of Notre Dame,,,,,,,,,,,,,,4.0,0.0
765,Parameterised Gradual Semantics Dealing with Varied Degrees of Compensation,Utrecht University,French National Centre for Scientific Research,French National Centre for Scientific Research,,,,,,,,,,,,,,,3.0,0.0
766,Cognitively Inspired Learning of Incremental Drifting Concepts,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,2.0,0.0
