Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,num_academia,num_company
106,Adversarial Examples in Physical World,Beihang University,,,,,,,,,,,,,,,,,,,,1.0,0.0
107,Matchings with Group Fairness Constraints: Online and Offline Algorithms,Indian Institute of Technology Madras,Indian Institute of Science Bangalore,Indian Institute of Technology Madras,Chennai Mathematical Institute,Universitas Muslim Indonesia,,,,,,,,,,,,,,,,5.0,0.0
108,Generalized Kings and Single-Elimination Winners in Random Tournaments," Google Research, US",National University of Singapore,,,,,,,,,,,,,,,,,,,1.0,0.0
109,Decomposable-Net: Scalable Low-Rank Compression for Neural Networks,Toshiba Mitsubishi-Electric Industrial Systems Corporation (Japan),The University of Tokyo,RIKEN Center for Advanced Intelligence Project,Toshiba Mitsubishi-Electric Industrial Systems Corporation (Japan),Toshiba Mitsubishi-Electric Industrial Systems Corporation (Japan),Toshiba Mitsubishi-Electric Industrial Systems Corporation (Japan),,,,,,,,,,,,,,,2.0,0.0
110,Unsupervised Path Representation Learning with Curriculum Negative Sampling,Aalborg University,Aalborg University,Aalborg University,University of Milan,HEC Montréal,Canadian Institute for Advanced Research,Aalborg University,,,,,,,,,,,,,,7.0,0.0
111,Hierarchical Temporal Multi-Instance Learning for Video-based Student Learning Engagement Assessment,Shandong University,Ministry of Education," Key Laboratory of Shandong Province for Software Engineering, Chin",Shandong University,Ministry of Education," Key Laboratory of Shandong Province for Software Engineering, Chin",University of South Carolina,Shandong University,Ministry of Education," Key Laboratory of Shandong Province for Software Engineering, Chin",,,,,,,,,,,4.0,0.0
112,Explaining Deep Neural Network Models with Adversarial Gradient Integration,Wayne State University,Wayne State University,Wayne State University,,,,,,,,,,,,,,,,,,3.0,0.0
113,Pretrained Language Models for Text Generation: A Survey,Renmin University of China, Beijing Key Laboratory of Big Data Management and Analysis Method,Renmin University of China,Renmin University of China, Beijing Key Laboratory of Big Data Management and Analysis Method,Renmin University of China,Renmin University of China, Beijing Key Laboratory of Big Data Management and Analysis Method,,,,,,,,,,,,,5.0,0.0
114,Optimal Transport for Deep Generative Models: State of the Art and Research Challenges,Monash University,Monash University," VinAI Research, Vietna",Monash University,,,,,,,,,,,,,,,,,3.0,0.0
115,Discovering Collaborative Signals for Next POI Recommendation with Iterative Seq2Graph Augmentation,University of Queensland,University of Queensland,University of Queensland,University of Queensland,University of Queensland,,,,,,,,,,,,,,,,5.0,0.0
116,GAEN: Graph Attention Evolving Networks,Florida Atlantic University,Florida Atlantic University,Florida Atlantic University,Florida Atlantic University,Wuhan University,Hunan University of Science and Technology,,,,,,,,,,,,,,,6.0,0.0
117,Inter-Task Similarity for Lifelong Reinforcement Learning in Heterogeneous Tasks,"National Institute of Astrophysics, Optics and Electronics",,,,,,,,,,,,,,,,,,,,1.0,0.0
118,Neighborhood Intervention Consistency: Measuring Confidence for Knowledge Graph Link Prediction,Dalian University of Technology,Macquarie University,Dalian University of Technology,Macquarie University,,,,,,,,,,,,,,,,,4.0,0.0
119,Alleviating Road Traffic Congestion with Artificial Intelligence,Texas A&M University,,,,,,,,,,,,,,,,,,,,1.0,0.0
120,InfOCF-Web: An Online Tool for Nonmonotonic Reasoning with Conditionals and Ranking Functions,University of Hagen,University of Hagen,,,,,,,,,,,,,,,,,,,2.0,0.0
121,Active Goal Recognition Design,University of New Hampshire,University of New Hampshire,Harvard University,Hebrew University of Jerusalem,,,,,,,,,,,,,,,,,4.0,0.0
122,Understanding Structural Vulnerability in Graph Convolutional Networks,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Emory University,,,,,,,,,,,,,,,6.0,0.0
123,Thompson Sampling for Bandits with Clustered Arms,Chalmers University of Technology,Chalmers University of Technology,Chalmers University of Technology,,,,,,,,,,,,,,,,,,3.0,0.0
124,Domain-Smoothing Network for Zero-Shot Sketch-Based Image Retrieval,Xidian University,Xidian University,Xidian University,Xidian University,Xidian University,,,,,,,,,,,,,,,,5.0,0.0
125,Towards Robust Dynamic Network Embedding,Southern University of Science and Technology,University of Birmingham,Southern University of Science and Technology,,,,,,,,,,,,,,,,,,3.0,0.0
126,Open Intent Extraction from Natural Language Interactions (Extended Abstract) *,The Ohio State University,The Ohio State University,Adobe Research and the Ohio State University,,,,,,,,,,,,,,,,,,2.0,0.0
127,Updating the Belief Promotion Operator,University of Buenos Aires,University of Buenos Aires,University of Tsukuba,University of Buenos Aires,University of Tsukuba,,,,,,,,,,,,,,,,5.0,0.0
