Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
174,Containment of Regular Path Queries under Description Logic Constraints *,Free University of Bozen-Bolzano,"Institute of Information Systems Vienna University of Technology Favoritenstraße 9-11, Vienna, Austri","Institute of Information Systems Vienna University of Technology Favoritenstraße 9-11, Vienna, Austri",,,,,,,,,,3.0,0.0
175,Constraint Optimization Approach to Context Based Word Selection,Kyoto University,Kyoto University,,,,,,,,,,,2.0,0.0
176,Multi-Select Faceted Navigation Based on Minimum Description Length Principle,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,5.0,0.0
177,A Cognitive Agent Model Displaying and Regulating Different Social Response Patterns,Vrije Universiteit Amsterdam,,,,,,,,,,,,1.0,0.0
178,Choosing Collectively Optimal Sets of Alternatives Based on the Condorcet Criterion,Nanyang Technological University,Paris Dauphine University,Paris Dauphine University,,,,,,,,,,3.0,0.0
179,Budgeted Social Choice: From Consensus to Personalized Decision Making,University of Toronto,University of Toronto,,,,,,,,,,,2.0,0.0
180,Learning Linear and Kernel Predictors with the 0-1 Loss Function,Hebrew University of Jerusalem,Microsoft Research (India),,,,,,,,,,,1.0,1.0
181,Reasoning and Proofing Services for Semantic Web Agents,Aristotle University of Thessaloniki,Institute of Computer Science,University of Crete,Institute of Computer Science,University of Crete,Aristotle University of Thessaloniki,,,,,,,6.0,0.0
182,Source-Selection-Free Transfer Learning,Hong Kong University of Science and Technology,Institute for Infocomm Research,Hong Kong University of Science and Technology,Institute for Infocomm Research,Hong Kong University of Science and Technology,,,,,,,,5.0,0.0
183,Making Better Informed Trust Decisions with Generalized Fact-Finding,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,2.0,0.0
184,Kernel-Based Selective Ensemble Learning for Streams of Trees,Department of Pure and Applied Matematics University of Padov,Department of Pure and Applied Matematics University of Padov,,,,,,,,,,,2.0,0.0
185,Learning a Distance Metric by Empirical Loss Minimization,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,2.0,0.0
186,Online Latent Structure Training for Language Acquisition,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,3.0,0.0
187,Tangled Modal Logic for Spatial Reasoning *,University of Seville,,,,,,,,,,,,1.0,0.0
188,Learning from Natural Instructions,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,2.0,0.0
