Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
713,A Context-Enriched Neural Network Method for Recognizing Lexical Entailment,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,Drexel University,University of Science and Technology of China,,,,,,,,,,,,,,,,,5.0,0.0
714,The Complexity of Succinct Elections,Rochester Institute of Technology,Rochester Institute of Technology,,,,,,,,,,,,,,,,,,,,2.0,0.0
715,Should Algorithms for Random SAT and Max-SAT Be Different?,Microsoft (United States),"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,,,,1.0,1.0
716,MPGL: An Efficient Matching Pursuit Method for Generalized LASSO,Northwestern Polytechnical University,University of Adelaide,South China University of Technology,Northwestern Polytechnical University,University of Adelaide,Australian Centre for Robotic Vision,University of Adelaide,,,,,,,,,,,,,,,7.0,0.0
717,Extensive-Form Perfect Equilibrium Computation in Two-Player Games,Carnegie Mellon University,Politecnico di Milano,,,,,,,,,,,,,,,,,,,,2.0,0.0
718,On Markov Games Played by Bayesian and Boundedly-Rational Players,University of Chinese Academy of Sciences,University of Pennsylvania,University of Georgia,,,,,,,,,,,,,,,,,,,3.0,0.0
719,Cross-Domain Ranking via Latent Space Learning,University of Southampton,Tsinghua University,,,,,,,,,,,,,,,,,,,,2.0,0.0
720,Practical TBox Abduction Based on Justification Patterns,Guangdong University of Foreign Studies,Guangdong University of Foreign Studies,Sun Yat-sen University," Guangdong Key Laboratory of Big Data Analysis and Processing, Guangzhou 510006, P.R.Chin",Sun Yat-sen University,,,,,,,,,,,,,,,,,3.0,0.0
721,Causal Discovery Using Regression-Based Conditional Independence Tests,Fudan University,Fudan University,Carnegie Mellon University,Tongji University,,,,,,,,,,,,,,,,,,4.0,0.0
722,Efficient Dependency-Guided Named Entity Recognition,Singapore University of Technology and Design,Singapore University of Technology and Design,Singapore University of Technology and Design,,,,,,,,,,,,,,,,,,,3.0,0.0
723,A Supervised Sparse Learning Framework to Solve EEG Inverse Problem for Discriminative Activations Pattern,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,1.0,0.0
724,Project Scheduling in Complex Business Environments,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
725,Non-Negative Inductive Matrix Completion for Discrete Dyadic Data,Indian Institute of Technology Kanpur,,,,,,,,,,,,,,,,,,,,,1.0,0.0
726,Importance Sampling with Unequal Support,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,2.0,0.0
727,The Complexity of Stable Matchings under Substitutable Preferences,Duke University,Duke University,University of Pennsylvania,,,,,,,,,,,,,,,,,,,3.0,0.0
728,Algorithms for Max-Min Share Fair Allocation of Indivisible Chores,Data61,University of Regensburg,University of Regensburg,UNSW Sydney,,,,,,,,,,,,,,,,,,4.0,0.0
729,Data-Driven Approximations to NP-Hard Problems,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,,,,,,,,,,,,,,,,,5.0,0.0
730,Proper Proxy Scoring Rules,ETH Zurich,University of Pennsylvania,ETH Zurich,,,,,,,,,,,,,,,,,,,3.0,0.0
731,DeepFix: Fixing Common C Language Errors by Deep Learning,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,4.0,0.0
732,Enabling Dark Energy Science with Deep Generative Models of Galaxy Images,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,5.0,0.0
733,Asynchronous Mini-Batch Gradient Descent with Variance Reduction for Non-Convex Optimization,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,2.0,0.0
734,What Happens Next? Future Subevent Prediction Using Contextual Hierarchical LSTM,Tsinghua University,Tsinghua University,Shandong University,Institute for Infocomm Research,Tsinghua University,,,,,,,,,,,,,,,,,5.0,0.0
735,Learning Latent Sentiment Scopes for Entity-Level Sentiment Analysis,Singapore University of Technology and Design,Singapore University of Technology and Design,,,,,,,,,,,,,,,,,,,,2.0,0.0
736,From Semantic Models to Cognitive Buildings,Trinity College Dublin,"IBM Research -Zurich Sauemerstr. 4, Rueschlikon, Switzerlan",,,,,,,,,,,,,,,,,,,,2.0,0.0
737,Deep Hashing: A Joint Approach for Image Signature Learning,University of Computer Studies Yangon," Multimedia Department, AT&T Labs, U.S.A",,,,,,,,,,,,,,,,,,,,1.0,1.0
738,Accelerated Variance Reduced Stochastic ADMM,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,3.0,0.0
739,Automatically Extracting Axioms in Classical Planning (Extended Abstract),The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,,2.0,0.0
740,SEAPoT-RL: Selective Exploration Algorithm for Policy Transfer in RL,Singapore Management University,Singapore Management University,Singapore Management University,National University of Singapore,,,,,,,,,,,,,,,,,,4.0,0.0
741,Counting-Based Reliability Estimation for Power-Transmission Grids *,University of Liverpool,University of Liverpool,University of Liverpool,University of Liverpool,,,,,,,,,,,,,,,,,,4.0,0.0
742,Nonlinear Dynamic Boltzmann Machines for Time-Series Prediction,IBM Research - Tokyo,IBM Research - Tokyo,,,,,,,,,,,,,,,,,,,,2.0,0.0
743,Feature Selection Guided Auto-Encoder,Electrical and Computer Engineering Department Heads Association,Electrical and Computer Engineering Department Heads Association,Electrical and Computer Engineering Department Heads Association,Northeastern University,,,,,,,,,,,,,,,,,,4.0,0.0
744,Selfish Knapsack,City University of New York,City University of New York,,,,,,,,,,,,,,,,,,,,2.0,0.0
745,Soft and Cost MDD Propagators,Nice Sophia Antipolis University,Nice Sophia Antipolis University,,,,,,,,,,,,,,,,,,,,2.0,0.0
746,Where to Add Actions in Human-in-the-Loop Reinforcement Learning,University of Washington," Enlearn TM , Seattle, W",Carnegie Mellon University,University of Washington," Enlearn TM , Seattle, W",,,,,,,,,,,,,,,,,3.0,1.0
747,SSP: Semantic Space Projection for Knowledge Graph Embedding with Text Descriptions,State Key Lab. of Intelligent Technology and Systems,Tsinghua University,,,,,,,,,,,,,,,,,,,,4.0,0.0
748,Scalable Algorithm for Higher-Order Co-Clustering via Random Sampling,National Institute of Informatics,"ERATO, Kawarabayashi Large Graph Project, Japa",Shizuoka University,,,,,,,,,,,,,,,,,,,4.0,0.0
749,Label Efficient Learning by Exploiting Multi-Class Output Codes,Carnegie Mellon University,Carnegie Mellon University,Microsoft Research (India),Tel Aviv University,,,,,,,,,,,,,,,,,,3.0,1.0
750,SnapNETS: Automatic Segmentation of Network Sequences with Node Labels,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,,,,,,,,,,,,,,,,,5.0,0.0
751,Profit-Driven Team Grouping in Social Networks,University of Texas Health Science Center at Dallas,,,,,,,,,,,,,,,,,,,,,1.0,0.0
752,Vision-Language Fusion for Object Recognition,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,5.0,0.0
753,Online Multi-Target Tracking Using Recurrent Neural Networks,University of Adelaide,University of Adelaide,University of Adelaide,University of Adelaide,ETH Zurich,,,,,,,,,,,,,,,,,5.0,0.0
754,Multi-Objective Influence Diagrams with Possibly Optimal Policies,IBM Research - Ireland,University College Cork,University College Cork,,,,,,,,,,,,,,,,,,,3.0,0.0
755,Solving Constrained Combinatorial Optimization Problems via MAP Inference Without High-order Penalties,Northwestern Polytechnical University,University of Adelaide,"University of California, San Diego",Northwestern Polytechnical University,Northwestern Polytechnical University,China University of Mining and Technology,University of Adelaide,,,,,,,,,,,,,,,7.0,0.0
