Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
89,Achieving Privacy in the Adversarial Multi-Armed Bandit,Chalmers University of Technology,University of Lille,Chalmers University of Technology,Harvard University,,,,,,,,,,,,,,,,,,4.0,0.0
90,Infinitely Many-Armed Bandits with Budget Constraints,Institute of Automation,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,2.0,0.0
91,Finding Critical Users for Social Network Engagement: The Collapsed k-Core Problem,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,5.0,0.0
92,Marrying Uncertainty and Time in Knowledge Graphs,University of Mannheim,University of Mannheim,"Rende(CS), Ital",Data and Web Science Group University of Mannhei,Data and Web Science Group University of Mannhei,,,,,,,,,,,,,,,,,4.0,0.0
93,A Riemannian Network for SPD Matrix Learning,ETH Zurich,ETH Zurich,,,,,,,,,,,,,,,,,,,,2.0,0.0
94,Multilinear Regression for Embedded Feature Selection with Application to fMRI Analysis,Hong Kong Baptist University,University of Sheffield,,,,,,,,,,,,,,,,,,,,2.0,0.0
95,Pairwise Relationship Guided Deep Hashing for Cross-Modal Retrieval,Xidian University,Xidian University," Tencent AI Lab, Shenzhen, Chin",Beihang University,University of Technology Sydney,Xidian University,,,,,,,,,,,,,,,,5.0,1.0
96,Reactive Versus Anticipative Decision Making in a Novel Gift-Giving Game,Vrije Universiteit Brussel,Université Libre de Bruxelles,Universidade de Vigo,Universidade de Vigo,Vrije Universiteit Brussel,Université Libre de Bruxelles,,,,,,,,,,,,,,,,6.0,0.0
97,Incidental Supervision: Moving beyond Supervised Learning,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,1.0,0.0
98,Neuron Learning Machine for Representation Learning,Xidian University,Xidian University,Xidian University,,,,,,,,,,,,,,,,,,,3.0,0.0
99,Plan Recognition Design,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,5.0,0.0
