Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,num_academia,num_company
118,Appearance-Motion Memory Consistency Network for Video Anomaly Detection,Guangdong University of Technology,Guangdong University of Technology,ShanghaiTech University,Shanghai Institute of Microsystem and Information Technology,ShanghaiTech University,Guangdong University of Technology,,,,,,,,,,,,,,,,,6.0,0.0
119,Learning Generalized Relational Heuristic Networks for Model-Agnostic Planning,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
120,Disentangled Motif-aware Graph Learning for Phrase Grounding,Zhejiang University,Zhejiang University,Zhejiang University," City Cloud Technology (China) Co., Lt",Zhejiang University,,,,,,,,,,,,,,,,,,4.0,0.0
121,DDRel: A New Dataset for Interpersonal Relation Classification in Dyadic Dialogues,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,3.0,0.0
122,Multi-modal Multi-label Emotion Recognition with Heterogeneous Hierarchical Message Passing,Soochow University,Soochow University,Alibaba Group (China),Soochow University,Soochow University,Soochow University,Soochow University,,,,,,,,,,,,,,,,6.0,1.0
123,AttnMove: History Enhanced Trajectory Recovery via Attentional Network,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,7.0,0.0
124,Do Response Selection Models Really Know What's Next? Utterance Manipulation Strategies For Multi-turn Response Selection, Wisenut Inc, Kakao Corp,Korea University,Korea University, Kakao Enterprise Corp, Kakao Enterprise Corp, Wisenut Inc,Korea University,,,,,,,,,,,,,,,3.0,0.0
125,How Linguistically Fair Are Multilingual Pre-Trained Language Models?,Microsoft Research (India),Microsoft Research (India),,,,,,,,,,,,,,,,,,,,,0.0,2.0
126,Transfer Learning for Efficient Iterative Safety Validation,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
127,Guiding Non-Autoregressive Neural Machine Translation Decoding with Reordering Information,"Pattern Recognition Center, WeChat AI, Tencent Inc., Chin","Pattern Recognition Center, WeChat AI, Tencent Inc., Chin","Pattern Recognition Center, WeChat AI, Tencent Inc., Chin","Pattern Recognition Center, WeChat AI, Tencent Inc., Chin",,,,,,,,,,,,,,,,,,,4.0,0.0
128,Storage Fit Learning with Feature Evolvable Streams,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,4.0,0.0
129,Content Learning with Structure-Aware Writing: A Graph-Infused Dual Conditional Variational Autoencoder for Automatic Storytelling,Peking University,Peking University,Peking University,Renmin University of China,Peking University,,,,,,,,,,,,,,,,,,5.0,0.0
130,Enhancing Audio-Visual Association with Self-Supervised Curriculum Learning,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,Kyushu Institute of Technology,Huaqiao University,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,6.0,0.0
131,Weighting-based Variable Neighborhood Search for Optimal Camera Placement *,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,University of Picardie Jules Verne," Huawei Technologies Co., Ltd., Chin"," Huawei Technologies Co., Ltd., Chin",,,,,,,,,,,,,,,,,4.0,0.0
132,Cutting to the Core of Pseudo-Boolean Optimization: Combining Core-Guided Search with Cutting Planes Reasoning,Lund University,University of Copenhagen,KU Leuven,Lund University,University of Copenhagen,Delft University of Technology,Lund University,University of Copenhagen,Monash University,,,,,,,,,,,,,,9.0,0.0
133,Semi-Supervised Metric Learning: A Deep Resurrection," Data Sciences, Myntra, Indi",Indian Institute of Technology Madras,Monash University,Indian Institute of Technology Madras,,,,,,,,,,,,,,,,,,,3.0,0.0
134,DropLoss for Long-Tail Instance Segmentation,National Tsing Hua University,National Tsing Hua University,National Tsing Hua University,National Tsing Hua University,National Tsing Hua University,National Tsing Hua University,,,,,,,,,,,,,,,,,6.0,0.0
135,Learning Omni-frequency Region-adaptive Representations for Real Image Super-Resolution,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,7.0,0.0
136,On Convergence of Gradient Expected Sarsa(λ),Zhejiang University,Zhejiang University,Zhejiang University,Nanyang Technological University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,6.0,0.0
137,DialogXL: All-in-One XLNet for Multi-Party Conversation Emotion Recognition,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,4.0,0.0
138,AUGSPLICING: Synchronized Behavior Detection in Streaming Tensors,Institute of Computing Technology,Institute of Computing Technology, Beijing InnovSharing Co.Lt,National University of Singapore,Institute of Computing Technology,Tsinghua University,Institute of Computing Technology,,,,,,,,,,,,,,,,6.0,1.0
139,RGB-D Salient Object Detection via 3D Convolutional Neural Networks,University of Science and Technology of China,University of Science and Technology of China,Institut National des Sciences Appliquées de Rennes,Sichuan University of Science and Engineering,Sichuan University of Science and Engineering,Sichuan University of Science and Engineering,Sichuan University of Science and Engineering,University of Science and Technology of China,,,,,,,,,,,,,,,4.0,0.0
140,HiABP: Hierarchical Initialized ABP for Unsupervised Representation Learning, Centre for Perceptual and Interactive Intelligenc,Chinese University of Hong Kong,Chinese University of Hong Kong, Centre for Perceptual and Interactive Intelligenc,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,3.0,0.0
141,Policy Optimization as Online Learning with Mediator Feedback,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,,,,,4.0,0.0
142,Treatment Effect Estimation with Disentangled Latent Factors,University of South Australia,University of South Australia,University of South Australia,,,,,,,,,,,,,,,,,,,,3.0,0.0
143,Visual Transfer for Reinforcement Learning via Wasserstein Domain Confusion,Brown University,Brown University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
144,Terrace-based Food Counting and Segmentation,City University of Hong Kong,Singapore Management University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
145,ROSITA: Refined BERT cOmpreSsion with InTegrAted techniques,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering, Meituan Inc,,,,,,,,,,,,,,,,,,,3.0,0.0
146,Doubly Residual Neural Decoder: Towards Low-Complexity High-Performance Channel Decoding,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,,,4.0,0.0
147,Auto-Encoding Transformations in Reparameterized Lie Groups for Unsupervised Learning,University of Science and Technology of China,Shanghai Jiao Tong University,University of Science and Technology of China,Inception Institute of Artificial Intelligence,Shanghai Jiao Tong University," Laboratory for MAPLE, Futurewei Technologie",,,,,,,,,,,,,,,,,4.0,1.0
148,Targeted Negative Campaigning: Complexity and Approximations,Bar-Ilan University, Google Researc,Bar-Ilan University, Google Researc,Ariel University,,,,,,,,,,,,,,,,,,3.0,1.0
149,Aspect-Level Sentiment-Controllable Review Generation with Mutual Learning Framework," Pattern Recognition Center, WeChat AI, Tencent Inc., Chin",Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University," Pattern Recognition Center, WeChat AI, Tencent Inc., Chin"," Pattern Recognition Center, WeChat AI, Tencent Inc., Chin",Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,10.0,0.0
150,Label Confusion Learning to Enhance Text Classification Models,Shanghai University of Finance and Economics,Shanghai University of Finance and Economics,Shanghai University of Finance and Economics,Shanghai University of Finance and Economics,Shanghai University of Finance and Economics,,,,,,,,,,,,,,,,,,5.0,0.0
151,Sample Efficient Reinforcement Learning with REINFORCE,Stanford University,Stanford University," DeepMind, Googl",Stanford University,,,,,,,,,,,,,,,,,,,3.0,0.0
152,Proportionally Representative Participatory Budgeting with Ordinal Preferences,UNSW Sydney,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,2.0,0.0
153,Multi-Party Campaigning,Charles University,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,2.0,0.0
154,On-line Learning of Planning Domains from Sensor Data in PAL: Scaling up to Large State Spaces,Fondazione Bruno Kessler,University of Brescia,University of Brescia,University of Brescia,Fondazione Bruno Kessler,Fondazione Bruno Kessler,,,,,,,,,,,,,,,,,6.0,0.0
155,A Unified Multi-Scenario Attacking Network for Visual Object Tracking,Chinese University of Hong Kong,Southern University of Science and Technology,Peking University,Chinese University of Hong Kong,Chinese University of Hong Kong," Laboratory for MAPLE, Futurewei Technologie",,,,,,,,,,,,,,,,,4.0,3.0
156,Question-Driven Span Labeling Model for Aspect-Opinion Pair Extraction,Beijing University of Posts and Telecommunications," EBUPT Information Technology Co., Ltd",Beijing University of Posts and Telecommunications," EBUPT Information Technology Co., Ltd",Zhejiang A & F University," EBUPT Information Technology Co., Ltd",Beijing University of Posts and Telecommunications," EBUPT Information Technology Co., Ltd",Beijing University of Posts and Telecommunications," EBUPT Information Technology Co., Ltd",Beijing University of Posts and Telecommunications," EBUPT Information Technology Co., Ltd",,,,,,,,,,,6.0,0.0
157,Coupled Layer-wise Graph Convolution for Transportation Demand Prediction," SKLSDE and BDBC Lab, Beihang University, Beijing 100083, China"," SKLSDE and BDBC Lab, Beihang University, Beijing 100083, China"," SKLSDE and BDBC Lab, Beihang University, Beijing 100083, China",University of Central Florida,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,,5.0,0.0
158,Power in Liquid Democracy,University of Groningen,University of Groningen,University of Amsterdam,,,,,,,,,,,,,,,,,,,,3.0,0.0
159,SeCo: Exploring Sequence Supervision for Unsupervised Representation Learning,"JD AI Research, Beijing, Chin","JD AI Research, Beijing, Chin","JD AI Research, Beijing, Chin","JD AI Research, Beijing, Chin","JD AI Research, Beijing, Chin",,,,,,,,,,,,,,,,,,0.0,5.0
160,Exploring Transfer Learning For End-to-End Spoken Language Understanding,Children's Hospital at Westmead,University of Massachusetts Amherst,Children's Hospital at Westmead,Children's Hospital at Westmead,Children's Hospital at Westmead,Children's Hospital at Westmead,Children's Hospital at Westmead,,,,,,,,,,,,,,,,7.0,0.0
161,Residual Shuffle-Exchange Network for Fast Processing of Long Sequences,Institute of Mathematics and Computer Science,Institute of Mathematics and Computer Science,Institute of Mathematics and Computer Science,Institute of Mathematics and Computer Science,Institute of Mathematics and Computer Science,,,,,,,,,,,,,,,,,,5.0,0.0
162,Simpson's Bias in NLP Training,University of Electronic Science and Technology of China," Rakuten Institute of Technology, Rakuten, Inc"," Rakuten Institute of Technology, Rakuten, Inc",Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,1.0,1.0
163,Why Do Attributes Propagate in Graph Convolutional Neural Networks?,Hebei University of Technology,Institute of Information Engineering,Hebei University of Technology,Institute of Information Engineering,Hebei University of Technology,Hebei University of Technology,Institute of Information Engineering,Hebei University of Technology,Hebei University of Technology,,,,,,,,,,,,,,9.0,0.0
164,Learning from Crowds by Modeling Common Confusions,"Department of Computer Science, University of Virgini","Department of Computer Science, University of Virgini","Department of Computer Science, University of Virgini",,,,,,,,,,,,,,,,,,,,3.0,0.0
165,Semi-Supervised Learning with Variational Bayesian Inference and Maximum Uncertainty Regularization,Deakin University,Deakin University,Deakin University,,,,,,,,,,,,,,,,,,,,3.0,0.0
166,R 3 Det: Refined Single-Stage Detector with Feature Refinement for Rotating Object,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University, China Merchants Bank Credit Card Cente," Anhui COWAROBOT CO., Ltd", Anhui Provincial Key Laboratory of Multimodal Cognitive Computatio,,,,,,,,,,,,,,,,2.0,2.0
167,Progression Heuristics for Planning with Probabilistic LTL Constraints,Australian National University,Australian National University,Australian National University,,,,,,,,,,,,,,,,,,,,3.0,0.0
168,EvaLDA: Efficient Evasion Attacks Towards Latent Dirichlet Allocation,Hangzhou Dianzi University," Center for Research on Computation and Society & Department of Computer Science, Harvard University, Cambridge 02138, MA, US",Hangzhou Dianzi University,Hangzhou Dianzi University,,,,,,,,,,,,,,,,,,,3.0,0.0
169,Iterative Utterance Segmentation for Neural Semantic Parsing,Peking University,Peking University,Peking University,Peking University,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,4.0,14.0
170,UNIPoint: Universally Approximating Point Processes Intensities,Australian National University,Australian National University,Australian National University,Australian National University,,,,,,,,,,,,,,,,,,,4.0,0.0
171,Deep Bayesian Quadrature Policy Optimization,Purdue University West Lafayette,Purdue University West Lafayette, Google Research 3 Caltec,,,,,,,,,,,,,,,,,,,,2.0,3.0
172,Progressive Multitask Learning with Controlled Information Flow for Joint Entity and Relation Extraction,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,University of Ottawa,Beihang University,Beihang University,,,,,,,,,,,,,,9.0,0.0
173,Efficient Optimal Selection for Composited Advertising Creatives with Tree Structure,University of Electronic Science and Technology of China,Alibaba Group (China),University of Science and Technology of China,Alibaba Group (China),University of Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,4.0,2.0
