Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,num_academia,num_company
119,A Restricted Black-Box Adversarial Framework Towards Attacking Graph Embedding Models,Tsinghua–Berkeley Shenzhen Institute," Tencent AI Lab, Chin"," Tencent AI Lab, Chin"," Tencent AI Lab, Chin"," Tencent AI Lab, Chin",Tsinghua University,Tsinghua–Berkeley Shenzhen Institute,Tsinghua University," Tencent AI Lab, Chin",,,,,,,,,,,,,,,,,4.0,0.0
120,Universal Value Iteration Networks: When Spatially-Invariant Is Not Universal,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,University of the Sunshine Coast,,,,,,,,,,,,,,,,,,,,6.0,0.0
121,Web-Supervised Network with Softly Update-Drop Training for Fine-Grained Visual Classification,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Inception Institute of Artificial Intelligence,Nanjing University of Science and Technology,Inception Institute of Artificial Intelligence,Harbin Institute of Technology,University of Electronic Science and Technology of China,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,9.0,0.0
122,CG-GAN: An Interactive Evolutionary GAN-Based Approach for Facial Composite Generation,IT University of Copenhagen,IT University of Copenhagen,IT University of Copenhagen,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
123,Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations,ETH Zurich,Max Planck Institute for Intelligent Systems,Universidad Nacional Autónoma de Alto Amazonas,Max Planck Institute for Intelligent Systems,ETH Zurich,,,,,,,,,,,,,,,,,,,,,4.0,0.0
124,DGE: Deep Generative Network Embedding Based on Commonality and Individuality,Zhejiang University,Zhejiang University,Zhejiang University,Tsinghua University,Zhejiang University,Zhejiang University,Zhejiang University,Simon Fraser University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,13.0,0.0
125,Dynamic Knowledge Routing Network for Target-Guided Open-Domain Conversation,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University, Dark Matter AI Inc,Dark Matter AI Inc,,,,,,,,,,,,,,,,,,,,4.0,0.0
126,ScaleNet -Improve CNNs through Recursively Rescaling Objects,Oregon State University Cascades,Oregon State University Cascades,Race Forward,Oregon State University Cascades,Oregon State University Cascades,,,,,,,,,,,,,,,,,,,,,1.0,0.0
127,Softmax Dissection: Towards Understanding Intra-and Inter-Class Objective for Embedding Learning,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
128,End-to-End Game-Focused Learning of Adversary Behavior in Security Games," Center for Research on Computation and Society, Harvar"," Center for Research on Computation and Society, Harvar",University of Southern California," Center for Research on Computation and Society, Harvar",University of Southern California," Center for Research on Computation and Society, Harvar",,,,,,,,,,,,,,,,,,,,6.0,0.0
129,Modeling Dialogues with Hashcode Representations: A Nonparametric Approach, USC Information Sciences Institut,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center, USC Information Sciences Institut, USC Information Sciences Institut, USC Information Sciences Institut, USC Information Sciences Institut, USC Information Sciences Institut,,,,,,,,,,,,,,,,,,7.0,1.0
130,Suspicion-Free Adversarial Attacks on Clustering Algorithms,"University of California, Davis","University of California, Davis","University of California, Davis","University of California, Davis",,,,,,,,,,,,,,,,,,,,,,4.0,0.0
131,MANYMODALQA: Modality Disambiguation and QA over Diverse Inputs,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
132,Beyond Pairwise Comparisons in Social Choice: A Setwise Kemeny Aggregation Problem,Gran Sasso Science Institute,Université de Toulouse,Laboratoire de Recherche en Informatique de Paris 6,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
133,Co-GCN for Multi-View Semi-Supervised Learning,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
134,Automatic Building and Labeling of HD Maps with Deep Learning,Worcester Polytechnic Institute,Worcester Polytechnic Institute,Worcester Polytechnic Institute,Worcester Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
135,GaSPing for Utility,"University of California, Santa Barbara",IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
136,Complexity and Expressive Power of Disjunction and Negation in Limit Datalog,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
137,Motion-Attentive Transition for Zero-Shot Video Object Segmentation,Inception Institute of Artificial Intelligence,Beijing Institute of Technology,Beijing Institute of Technology,Inception Institute of Artificial Intelligence,Nanjing University of Science and Technology,Beijing Institute of Technology,Inception Institute of Artificial Intelligence,,,,,,,,,,,,,,,,,,,7.0,0.0
138,Envelope-Based Approaches to Real-Time Heuristic Search,University of New Hampshire,University of New Hampshire,University of New Hampshire,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
139,ParamE: Regarding Neural Network Parameters as Relation Embeddings for Knowledge Graph Completion,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,10.0,0.0
140,Dempster-Shafer Theoretic Learning of Indirect Speech Act Comprehension Norms,MIRRORLab Department of Computer Science Colorado School of Mine,MIRRORLab Department of Computer Science Colorado School of Mine,MIRRORLab Department of Computer Science Colorado School of Mine,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
141,Unsupervised Attributed Multiplex Network Embedding,University of Illinois Urbana-Champaign," Yahoo! Research, CA, US",University of Illinois Urbana-Champaign,Pohang University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
142,Learning Agent Communication under Limited Bandwidth by Message Pruning,Peking University,Peking University,Peking University," Huawei Technologies Co., Ltd",Peking University,,,,,,,,,,,,,,,,,,,,,4.0,0.0
143,Exploiting Cross-Lingual Subword Similarities in Low-Resource Document Classification, Now at Google Research Züric,"CS and UMIACS University of Maryland College Park, MD, US",University of Colorado Boulder,Laboratoire de Sciences Cognitives et Psycholinguistique,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
144,K-BERT: Enabling Language Representation with Knowledge Graph,Peking University,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,Beijing Normal University,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,Peking University,,,,,,,,,,,,,,,,,,,7.0,0.0
145,CASTER: Predicting Drug Interactions with Chemical Substructure Representation,Harvard University,IQVIA (United States),IQVIA (United States)," MIT-IBM Watson AI Lab, IBM Research, Cambridge, MA, US",IQVIA (United States),Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,2.0,3.0
146,Spiking-YOLO: Spiking Neural Network for Energy-Efficient Object Detection,Allegheny-Singer Research Institute,Seoul National University,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
147,Cross-Modality Paired-Images Generation for RGB-Infrared Person Re-Identification,Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Science and Technology of China,Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,14.0,0.0
148,Chemical and Textual Embeddings for Drug Repurposing,Technion – Israel Institute of Technology,"Institute of Technology Haifa, Israe",Technion – Israel Institute of Technology,"Institute of Technology Haifa, Israe",,,,,,,,,,,,,,,,,,,,,,2.0,1.0
149,Fact-Aware Sentence Split and Rephrase with Permutation Invariant Training,Peking University,Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
150,Latent Relation Language Models,Carnegie Mellon University,Carnegie Mellon University,Microsoft Research (India),Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
151,Synch-Graph: Multisensory Emotion Recognition Through Neural Synchrony via Graph Convolutional Networks,University of St Andrews,University of St Andrews,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
152,Partial Label Learning with Batch Label Correction,Northwestern Polytechnical University,Carleton University,Carleton University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
153,Improved Filtering for the Euclidean Traveling Salesperson Problem in CLP(FD),University of Ferrara,University of Ferrara,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
154,Using Small Business Banking Data for Explainable Credit Risk Scoring,Intuit (United States),Intuit (United States),Intuit (United States),Intuit (United States),Intuit (United States),Intuit (United States),,,,,,,,,,,,,,,,,,,,0.0,6.0
155,Modelling Sentence Pairs via Reinforcement Learning: An Actor-Critic Approach to Learn the Irrelevant Words,Western University,Western University,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
156,KPNet: Towards Minimal Face Detector, SenseTime X-La,Beihang University,University of Hong Kong, SenseTime X-La,University of Hong Kong,Beihang University,Beihang University,National Computer Network Emergency Response Technical Team/Coordination Center of Chinar,,,,,,,,,,,,,,,,,,6.0,0.0
157,Understanding the Disharmony between Weight Normalization Family and Weight Decay,Nanjing University of Science and Technology, Moment,Nanjing University of Science and Technology,Nanjing University of Science and Technology," Xiang Li, Shuo Chen and Jian Yang are with PCA Lab, Key Lab of Intelligent Perception and Systems for High-Dimensional Information of Ministry of Education, and Jiangsu Key Lab of Image and Video Understanding for So-cial Security, School of Computer Science and Engineering, Nanjing University of Science and Technology",,,,,,,,,,,,,,,,,,,,,3.0,0.0
158,Distilling Knowledge from Well-Informed Soft Labels for Neural Relation Extraction,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
159,Reinforcement Learning with Perturbed Rewards,University of Toronto,"University of California, Santa Cruz",University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
160,Efficient Algorithms for Generating Provably Near-Optimal Cluster Descriptors for Explainability,University of Virginia,Virginia Tech,"University of California, Davis",University of Virginia,"University at Albany, State University of New York",University of Virginia,University of Virginia,University of Virginia,,,,,,,,,,,,,,,,,,8.0,0.0
161,Efficient Querying from Weighted Binary Codes,Peking University Shenzhen Hospital,Peking University Shenzhen Hospital,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
162,Revisiting Graph Based Collaborative Filtering: A Linear Residual Graph Convolutional Network Approach,Hefei University of Technology,Hefei University of Technology,Hefei University of Technology,Hefei University of Technology,Hefei University of Technology,Hefei University of Technology,University of Science and Technology of China,Hefei University of Technology,Hefei University of Technology,,,,,,,,,,,,,,,,,9.0,0.0
163,Gamma-Nets: Generalizing Value Estimation over Timescale,Alberta Hospital Edmonton,Alberta Hospital Edmonton," Cogitai, US",Alberta Hospital Edmonton,Alberta Hospital Edmonton,,,,,,,,,,,,,,,,,,,,,4.0,0.0
164,Unpaired Image Enhancement Featuring Reinforcement-Learning-Controlled Image Editing Software,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
165,Unsupervised Deep Learning via Affinity Diffusion,Queen Mary University of London,Queen Mary University of London,Queen Mary University of London, Vision Semantics Limite,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
166,A Unifying View on Individual Bounds and Heuristic Inaccuracies in Bidirectional Search,RIKEN Center for Advanced Intelligence Project,University of Auckland,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
167,Weakly-Supervised Video Moment Retrieval via Semantic Completion Network,Zhejiang University,Zhejiang University,Zhejiang University," Alibaba Inc., Chin"," Alibaba Inc., Chin",,,,,,,,,,,,,,,,,,,,,3.0,0.0
168,Inefficiency of K-FAC for Large Batch Size Training,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,,,,,,,7.0,0.0
169,Building Calibrated Deep Models via Uncertainty Matching with Auxiliary Interval Predictors,Lawrence Livermore National Laboratory,Arizona State University,Lawrence Livermore National Laboratory,IBM Research - Australia,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
170,Hybrid Graph Neural Networks for Crowd Counting,University of Science and Technology of China,Inception Institute of Artificial Intelligence,Inception Institute of Artificial Intelligence,University of North Carolina at Chapel Hill,University of Pennsylvania,Nanyang Technological University,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,7.0,0.0
171,Channel Pruning Guided by Classification Loss and Feature Importance,University of Sydney,University of Sydney,University of Sydney,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
172,"Making Existing Clusterings Fairer: Algorithms, Complexity Results and Insights","University of California, Davis",University of Virginia,"University at Albany, State University of New York",,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
173,Bridging the Gap between Pre-Training and Fine-Tuning for End-to-End Speech Translation,Nankai University," Microsoft Research Aisa, Beijing, Chin"," Microsoft Research Aisa, Beijing, Chin",Nankai University," Microsoft Research Aisa, Beijing, Chin",,,,,,,,,,,,,,,,,,,,,2.0,0.0
174,Commonsense Knowledge Base Completion with Structural and Semantic Context,Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
