Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
111,Optimal Graph Search with Iterated Graph Cuts,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,,3.0,0.0
112,CCRank: Parallel Learning to Rank with Cooperative Coevolution,Shandong University of Finance and Economics,Texas State University,Texas State University,Simon Fraser University,Institute for Infocomm Research,Texas State University,,,,,,,6.0,0.0
113,Transfer Learning for Multiple-Domain Sentiment Analysis -Identifying Domain Dependent/Independent Word Polarity,Kyoto University,Kyoto University,Kyoto University,Kyoto University,Kyoto University,Nara Institute of Science and Technology,,,,,,,6.0,0.0
114,Selective Transfer Between Learning Tasks Using Task-Based Boosting,"Bryn Mawr College Computer Science Department Bryn Mawr, PA US","University of Maryland, Baltimore",,,,,,,,,,,1.0,0.0
115,A Kernel-Based Iterative Combinatorial Auction,"Yahoo! Research New York, NY 1001",,,,,,,,,,,,0.0,1.0
116,Testing Cyber Security with Simulated Humans,Marina Del Rey Hospital,Marina Del Rey Hospital,Marina Del Rey Hospital,Marina Del Rey Hospital,Marina Del Rey Hospital,Marina Del Rey Hospital,Marina Del Rey Hospital,,,,,,7.0,0.0
117,Optimal Envy-Free Cake Cutting,,,,,,,,,,,,,0.0,0.0
118,Hybrid Planning with Temporally Extended Goals for Sustainable Ocean Observing,Boeing (Spain),Massachusetts Institute of Technology,,,,,,,,,,,1.0,1.0
119,Distributed Constraint Optimization under Stochastic Uncertainty,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,2.0,0.0
120,Co-Training as a Human Collaboration Policy,University of Wisconsin–Madison,University of Wisconsin–Madison,University of Wisconsin–Madison,,,,,,,,,,3.0,0.0
121,"Human Spatial Relational Reasoning: Processing Demands, Representations, and Cognitive Model",University of Freiburg,University of Freiburg,,,,,,,,,,,2.0,0.0
122,Provoking Opponents to Facilitate the Recognition of their Intentions *,Université de Sherbrooke,Université de Sherbrooke,Université de Sherbrooke,Université de Sherbrooke,,,,,,,,,4.0,0.0
123,Learning Compact Representations of Time-Varying Processes,McGill University,McGill University,,,,,,,,,,,2.0,0.0
124,Learning Dimensional Descent for Optimal Motion Planning in High-imensional Spaces,University of Pennsylvania,University of Pennsylvania,,,,,,,,,,,2.0,0.0
125,Heuristic Planning in Adversarial Dynamic Domains *,Université de Sherbrooke,Université de Sherbrooke,,,,,,,,,,,2.0,0.0
126,Machine Learning and Sensor Fusion for Estimating Continuous Energy Expenditure,"BodyMedia Inc., One Gateway Center, 420 Fort Duquesne Boulevard, Suite 1900, Pittsburgh, PA 15222 US","BodyMedia Inc., One Gateway Center, 420 Fort Duquesne Boulevard, Suite 1900, Pittsburgh, PA 15222 US","BodyMedia Inc., One Gateway Center, 420 Fort Duquesne Boulevard, Suite 1900, Pittsburgh, PA 15222 US","BodyMedia Inc., One Gateway Center, 420 Fort Duquesne Boulevard, Suite 1900, Pittsburgh, PA 15222 US",,,,,,,,,4.0,0.0
